Simulation Time(s),Actual Time(in 24hr),Section ID,Flow (veh/hr)
0.00,0:00,43396,73334784.00
0.00,0:00,43408,73334784.00
0.00,0:00,43411,73334784.00
0.00,0:00,43414,73334784.00
0.00,0:00,43417,73334784.00
0.00,0:00,43421,73334784.00
0.00,0:00,43424,73334784.00
0.00,0:00,43427,73334784.00
0.00,0:00,43430,73334784.00
0.00,0:00,43433,73334784.00
0.00,0:00,43436,73334784.00
0.00,0:00,43439,73334784.00
0.00,0:00,43442,73334784.00
0.00,0:00,43445,73334784.00
0.00,0:00,43448,73334784.00
0.00,0:00,43451,73334784.00
0.00,0:00,43454,73334784.00
0.00,0:00,43457,73334784.00
0.00,0:00,43460,73334784.00
0.00,0:00,43463,73334784.00
0.00,0:00,43466,73334784.00
0.00,0:00,43469,73334784.00
0.00,0:00,43472,73334784.00
0.00,0:00,43475,73334784.00
0.00,0:00,43481,73334784.00
0.00,0:00,43482,73334784.00
0.00,0:00,43483,73334784.00
0.00,0:00,43486,73334784.00
0.00,0:00,43489,73334784.00
0.00,0:00,43492,73334784.00
0.00,0:00,43495,73334784.00
0.00,0:00,43496,73334784.00
0.00,0:00,43497,73334784.00
0.00,0:00,43500,73334784.00
0.00,0:00,43503,73334784.00
0.00,0:00,43506,73334784.00
0.00,0:00,43512,73334784.00
0.00,0:00,43515,73334784.00
0.00,0:00,43518,73334784.00
0.00,0:00,43521,73334784.00
0.00,0:00,43524,73334784.00
0.00,0:00,43527,73334784.00
0.00,0:00,43530,73334784.00
0.00,0:00,43533,73334784.00
0.00,0:00,43536,73334784.00
0.00,0:00,43539,73334784.00
0.00,0:00,43542,73334784.00
0.00,0:00,43545,73334784.00
0.00,0:00,43548,73334784.00
0.00,0:00,43551,73334784.00
0.00,0:00,43552,73334784.00
0.00,0:00,43553,73334784.00
0.00,0:00,43556,73334784.00
0.00,0:00,43559,73334784.00
0.00,0:00,43562,73334784.00
0.00,0:00,43565,73334784.00
0.00,0:00,43566,73334784.00
0.00,0:00,43567,73334784.00
0.00,0:00,43570,73334784.00
0.00,0:00,43573,73334784.00
0.00,0:00,43576,73334784.00
